order_id,order_date,customer_name,gender,city,product_name,product_category,price,quantity,payment_mode,rating,revenue,platform,month
AMZ000001,2023-02-14,Nakul Chhabra,Male,Hyderabad,Corporis Aperiam,Electronics,34138,4,Net Banking,2,136552,Amazon,2
AMZ000002,2023-12-15,Baiju Andra,Female,Delhi,Dolorum Mollitia,Fashion,4130,5,Net Banking,3,20650,Amazon,12
AMZ000003,2023-11-18,Saksham Deep,Male,Bangalore,In Similique,Beauty,49009,5,Cash on Delivery,3,245045,Amazon,11
AMZ000004,2023-09-22,Aarav Chaudhari,Female,Kolkata,Recusandae Fugit,Electronics,35639,1,UPI,1,35639,Amazon,9
AMZ000005,2023-12-19,Tanya Devan,Female,Kolkata,Quidem Recusandae,Sports,7580,3,Debit Card,1,22740,Amazon,12
AMZ000006,2023-08-04,Ira Sura,Male,Mumbai,Totam Quam,Books,8365,2,Credit Card,2,16730,Amazon,8
AMZ000007,2023-11-08,Reyansh Badami,Male,Bangalore,Exercitationem Esse,Books,16313,4,Net Banking,4,65252,Amazon,11
AMZ000008,2023-03-14,Taimur Uppal,Male,Mumbai,Incidunt Et,Sports,39787,2,Debit Card,4,79574,Amazon,3
AMZ000009,2023-04-02,Rohan Gour,Female,Delhi,Voluptate Voluptatem,Home & Kitchen,6427,2,Net Banking,5,12854,Amazon,4
AMZ000010,2023-04-03,Shanaya Bobal,Female,Bangalore,Incidunt Cum,Sports,27309,3,Debit Card,3,81927,Amazon,4
AMZ000011,2023-11-30,Onkar Andra,Male,Mumbai,Praesentium Suscipit,Beauty,37523,3,Net Banking,5,112569,Amazon,11
AMZ000012,2023-08-14,Vidur Sundaram,Female,Mumbai,Culpa Culpa,Sports,24908,1,Credit Card,2,24908,Amazon,8
AMZ000013,2023-11-15,Oorja Dugar,Male,Kolkata,Iusto Eligendi,Electronics,45026,1,Debit Card,3,45026,Amazon,11
AMZ000014,2023-12-18,Ehsaan Goswami,Female,Delhi,In Dicta,Fashion,38552,4,Cash on Delivery,3,154208,Amazon,12
AMZ000015,2023-02-17,Kanav Goswami,Male,Kolkata,Vero Officia,Home & Kitchen,13424,1,Debit Card,3,13424,Amazon,2
AMZ000016,2023-06-25,Umang Iyer,Female,Chennai,Amet Culpa,Home & Kitchen,18513,2,Cash on Delivery,4,37026,Amazon,6
AMZ000017,2023-09-21,Arhaan Dugal,Male,Delhi,Occaecati Mollitia,Beauty,27747,5,Credit Card,1,138735,Amazon,9
AMZ000018,2023-01-07,Miraya Sachdev,Female,Delhi,Voluptatum Adipisci,Fashion,46186,4,UPI,4,184744,Amazon,1
AMZ000019,2023-05-03,Ahana  Varma,Female,Hyderabad,Nulla Necessitatibus,Beauty,47753,1,Net Banking,1,47753,Amazon,5
AMZ000020,2023-10-27,Yashvi Sehgal,Female,Hyderabad,Nihil Distinctio,Beauty,32360,1,Debit Card,1,32360,Amazon,10
AMZ000021,2023-03-24,Anaya Agate,Male,Kolkata,Fugit Ullam,Beauty,37177,4,Credit Card,4,148708,Amazon,3
AMZ000022,2023-11-06,Gatik Dhingra,Male,Chennai,Delectus Autem,Beauty,49391,2,UPI,4,98782,Amazon,11
AMZ000023,2023-05-17,Aniruddh Behl,Female,Delhi,Est Recusandae,Books,24908,5,Credit Card,3,124540,Amazon,5
AMZ000024,2023-07-18,Onkar Hans,Female,Delhi,Eligendi Fugit,Beauty,23571,1,UPI,2,23571,Amazon,7
AMZ000025,2023-09-21,Badal Ganguly,Female,Bangalore,Nisi Doloremque,Books,3327,5,Cash on Delivery,5,16635,Amazon,9
AMZ000026,2023-02-14,Aaryahi Buch,Male,Hyderabad,Iusto Facere,Fashion,21679,5,Cash on Delivery,3,108395,Amazon,2
AMZ000027,2023-12-09,Shalv Khosla,Male,Hyderabad,Rerum Maiores,Sports,4154,2,Cash on Delivery,2,8308,Amazon,12
AMZ000028,2023-08-31,Kabir Soni,Male,Kolkata,Eius Quas,Electronics,21127,3,Credit Card,5,63381,Amazon,8
AMZ000029,2023-02-13,Rasha Lala,Female,Hyderabad,Consectetur Architecto,Sports,31346,1,Cash on Delivery,4,31346,Amazon,2
AMZ000030,2023-04-08,Ritvik Sachdeva,Male,Delhi,Sed Occaecati,Electronics,40240,3,Credit Card,1,120720,Amazon,4
AMZ000031,2023-01-31,Arnav Biswas,Male,Mumbai,Veniam Ad,Electronics,18946,1,UPI,3,18946,Amazon,1
AMZ000032,2023-08-17,Aarav Kale,Female,Bangalore,Quisquam Voluptatibus,Fashion,2257,5,UPI,2,11285,Amazon,8
AMZ000033,2023-06-30,Lakshit Varma,Female,Hyderabad,Id Hic,Fashion,13431,3,Credit Card,3,40293,Amazon,6
AMZ000034,2023-11-12,Rohan Goswami,Female,Bangalore,Quam Quaerat,Home & Kitchen,4939,5,Credit Card,5,24695,Amazon,11
AMZ000035,2023-06-25,Shamik Zacharia,Male,Delhi,Magnam Ea,Fashion,20761,1,UPI,2,20761,Amazon,6
AMZ000036,2023-03-04,Indrajit Mammen,Male,Bangalore,Doloremque Voluptatem,Beauty,2091,2,UPI,1,4182,Amazon,3
AMZ000037,2023-03-28,Jiya Yogi,Female,Mumbai,Ipsam Debitis,Beauty,44051,1,Credit Card,2,44051,Amazon,3
AMZ000038,2023-04-26,Nakul Kala,Female,Delhi,Deleniti Accusamus,Home & Kitchen,21259,1,Cash on Delivery,5,21259,Amazon,4
AMZ000039,2023-04-16,Tiya Iyengar,Female,Kolkata,Maiores Commodi,Electronics,5824,3,Net Banking,4,17472,Amazon,4
AMZ000040,2023-09-22,Rasha Tripathi,Female,Bangalore,Quasi Architecto,Home & Kitchen,26130,3,Net Banking,1,78390,Amazon,9
AMZ000041,2023-06-19,Faiyaz Acharya,Female,Mumbai,Repellat Numquam,Books,18420,1,Credit Card,3,18420,Amazon,6
AMZ000042,2023-12-25,Yuvaan Jha,Male,Kolkata,Nihil Aliquam,Electronics,9980,4,Cash on Delivery,2,39920,Amazon,12
AMZ000043,2023-11-17,Armaan Agarwal,Female,Delhi,Laborum Dolor,Beauty,10386,2,Cash on Delivery,5,20772,Amazon,11
AMZ000044,2023-05-08,Akarsh Keer,Female,Kolkata,Doloremque Fuga,Beauty,23890,4,Debit Card,4,95560,Amazon,5
AMZ000045,2023-06-23,Miraya Dube,Male,Mumbai,Dolore Iste,Fashion,5349,1,UPI,2,5349,Amazon,6
AMZ000046,2023-12-29,Vaibhav Devi,Male,Kolkata,Tempora Sapiente,Sports,2882,3,Net Banking,3,8646,Amazon,12
AMZ000047,2023-07-15,Lakshay Khurana,Male,Mumbai,Nisi Quia,Fashion,45413,3,Cash on Delivery,3,136239,Amazon,7
AMZ000048,2023-11-10,Tanya Tiwari,Male,Bangalore,Excepturi Recusandae,Fashion,33568,5,Net Banking,3,167840,Amazon,11
AMZ000049,2023-11-07,Abram Dua,Male,Bangalore,Quaerat Quaerat,Fashion,24284,4,Net Banking,3,97136,Amazon,11
AMZ000050,2023-09-06,Eshani Johal,Male,Pune,Doloremque Magni,Sports,21703,2,Net Banking,4,43406,Amazon,9
AMZ000051,2023-08-01,Kimaya Kadakia,Male,Pune,Ipsum Sequi,Electronics,22462,5,Net Banking,4,112310,Amazon,8
AMZ000052,2023-05-25,Dhanush Karnik,Male,Kolkata,Ex Amet,Electronics,28746,5,Net Banking,1,143730,Amazon,5
AMZ000053,2023-08-13,Purab Chakrabarti,Female,Pune,Suscipit Officia,Home & Kitchen,26704,5,UPI,2,133520,Amazon,8
AMZ000054,2023-09-10,Hiran Chanda,Female,Kolkata,Blanditiis Officia,Fashion,46871,1,Credit Card,4,46871,Amazon,9
AMZ000055,2023-07-18,Jivika Grover,Female,Delhi,Quia Vero,Sports,14280,4,Cash on Delivery,5,57120,Amazon,7
AMZ000056,2023-08-27,Vivaan Kant,Female,Pune,Consectetur Placeat,Books,13417,3,Credit Card,2,40251,Amazon,8
AMZ000057,2023-09-06,Rati Kunda,Male,Hyderabad,In Nam,Fashion,38461,4,Net Banking,5,153844,Amazon,9
AMZ000058,2023-08-31,Ojas Kari,Male,Bangalore,Modi Est,Sports,12911,1,Credit Card,4,12911,Amazon,8
AMZ000059,2023-11-14,Gokul Krishnamurthy,Male,Hyderabad,Quibusdam Non,Fashion,44888,5,UPI,3,224440,Amazon,11
AMZ000060,2023-04-07,Hazel Ganesh,Male,Pune,Corrupti Nihil,Sports,4549,3,Cash on Delivery,4,13647,Amazon,4
AMZ000061,2023-11-28,Nitya Acharya,Male,Kolkata,Pariatur Distinctio,Beauty,25947,3,Credit Card,3,77841,Amazon,11
AMZ000062,2023-11-22,Saksham Bose,Male,Bangalore,Possimus Atque,Sports,33852,1,Credit Card,2,33852,Amazon,11
AMZ000063,2023-12-01,Arhaan Seth,Female,Delhi,Expedita Eveniet,Fashion,49716,1,UPI,5,49716,Amazon,12
AMZ000064,2023-06-05,Adira Bandi,Female,Delhi,Architecto Officiis,Books,16726,5,Cash on Delivery,1,83630,Amazon,6
AMZ000065,2023-06-23,Indrajit Jaggi,Female,Kolkata,Ad Ipsum,Sports,6121,5,UPI,3,30605,Amazon,6
AMZ000066,2023-09-26,Shamik Sen,Female,Chennai,Qui Labore,Home & Kitchen,38674,1,Cash on Delivery,5,38674,Amazon,9
AMZ000067,2023-07-07,Vaibhav Bains,Male,Pune,Architecto Quod,Electronics,763,1,Net Banking,5,763,Amazon,7
AMZ000068,2023-03-14,Miraya Toor,Female,Kolkata,Quam Consequuntur,Books,15665,4,UPI,5,62660,Amazon,3
AMZ000069,2023-03-28,Ehsaan Seth,Male,Hyderabad,Quidem Voluptates,Fashion,23290,5,Credit Card,5,116450,Amazon,3
AMZ000070,2023-04-07,Armaan Brar,Male,Chennai,Tempore Quidem,Sports,17394,3,Cash on Delivery,2,52182,Amazon,4
AMZ000071,2023-11-24,Nishith Sampath,Male,Kolkata,Beatae Exercitationem,Sports,25161,3,UPI,2,75483,Amazon,11
AMZ000072,2023-01-21,Kavya Toor,Female,Pune,Quia Non,Fashion,33153,1,Cash on Delivery,3,33153,Amazon,1
AMZ000073,2023-08-11,Uthkarsh Ranganathan,Male,Pune,Voluptatibus Praesentium,Beauty,36975,4,Cash on Delivery,1,147900,Amazon,8
AMZ000074,2023-11-02,Shaan Hari,Female,Bangalore,Quam Qui,Electronics,1101,3,Cash on Delivery,5,3303,Amazon,11
AMZ000075,2023-10-01,Siya Uppal,Female,Chennai,Ut Magni,Fashion,35714,3,Debit Card,1,107142,Amazon,10
AMZ000076,2023-10-13,Tanya Majumdar,Female,Bangalore,Explicabo Doloribus,Beauty,42923,2,Net Banking,5,85846,Amazon,10
AMZ000077,2023-09-27,Kimaya Zachariah,Male,Delhi,At Deserunt,Electronics,23433,5,UPI,2,117165,Amazon,9
AMZ000078,2023-01-03,Ehsaan Choudhury,Female,Kolkata,Iusto Deserunt,Beauty,31931,5,Net Banking,2,159655,Amazon,1
AMZ000079,2023-02-01,Zara Buch,Female,Mumbai,Quibusdam Eligendi,Sports,34419,1,UPI,4,34419,Amazon,2
AMZ000080,2023-09-28,Misha Tailor,Female,Kolkata,Quidem Ratione,Home & Kitchen,5572,5,Credit Card,1,27860,Amazon,9
AMZ000081,2023-03-21,Anahita Balay,Male,Pune,Amet Veritatis,Electronics,36223,1,Debit Card,2,36223,Amazon,3
AMZ000082,2023-07-29,Shayak Gokhale,Female,Hyderabad,Repudiandae Accusamus,Electronics,13153,5,Credit Card,4,65765,Amazon,7
AMZ000083,2023-05-28,Jayant Sridhar,Male,Kolkata,Non Error,Beauty,13644,3,Net Banking,2,40932,Amazon,5
AMZ000084,2023-09-22,Oorja Subramaniam,Female,Mumbai,Voluptatem Repudiandae,Sports,41453,1,Debit Card,5,41453,Amazon,9
AMZ000085,2023-07-13,Hrishita Deshpande,Female,Hyderabad,Explicabo Voluptatum,Fashion,21759,2,Net Banking,4,43518,Amazon,7
AMZ000086,2023-03-26,Saanvi Agarwal,Female,Kolkata,Corporis Voluptatem,Beauty,460,5,Credit Card,4,2300,Amazon,3
AMZ000087,2023-04-25,Aradhya Chadha,Female,Mumbai,Odio Commodi,Home & Kitchen,40777,4,UPI,3,163108,Amazon,4
AMZ000088,2023-06-12,Ishita Sawhney,Male,Chennai,Dolore Pariatur,Books,38786,1,UPI,1,38786,Amazon,6
AMZ000089,2023-10-05,Saanvi Wadhwa,Female,Chennai,Illo Corporis,Sports,17861,3,Debit Card,1,53583,Amazon,10
AMZ000090,2023-10-24,Kavya Wali,Female,Hyderabad,Explicabo Nisi,Fashion,49375,2,Cash on Delivery,1,98750,Amazon,10
